# BUSCO version is: 5.3.1 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
15at3041	Complete	TRINITY_DN945_c0_g1_i10:517-7593	4222.1	2009	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Duplicated	TRINITY_DN1625_c0_g1_i10:806-4036	1884.9	954	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
42at3041	Duplicated	TRINITY_DN1625_c0_g1_i12:806-4999	2216.6	1148	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
42at3041	Duplicated	TRINITY_DN1625_c0_g1_i3:806-5146	2209.4	1148	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
42at3041	Duplicated	TRINITY_DN1625_c0_g1_i4:806-5226	2206.1	1148	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Fragmented	TRINITY_DN42580_c0_g1_i1:1-387	136.9	113	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	TRINITY_DN889_c0_g1_i8:37-4752	2255.2	1317	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Missing
66at3041	Fragmented	TRINITY_DN5361_c0_g1_i1:137-616	161.1	137	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Fragmented	TRINITY_DN1410_c0_g4_i2:1-1290	599.9	323	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	TRINITY_DN7434_c0_g1_i1:283-3567	1487.8	835	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	TRINITY_DN5933_c0_g1_i2:57-2909	1368.2	770	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Missing
106at3041	Complete	TRINITY_DN905_c0_g1_i1:69-4271	1802.8	1095	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Duplicated	TRINITY_DN3133_c0_g1_i2:98-2566	1212.3	742	https://www.orthodb.org/v10?query=117at3041	Midasin
117at3041	Duplicated	TRINITY_DN3133_c0_g1_i3:78-2066	1044.1	614	https://www.orthodb.org/v10?query=117at3041	Midasin
117at3041	Duplicated	TRINITY_DN3133_c0_g1_i5:5-2515	1216.4	752	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	TRINITY_DN4277_c0_g1_i2:43-1140	529.4	322	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	TRINITY_DN587_c0_g2_i2:133-3759	1699.2	1060	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
