3873	204+1041	0	188	1	1143at3041|TRINITY_DN3873_c0_g2_i2|+|35|0.0002338|1|204|1244|204[204]:1244[1244]:1041[1041]
3879	760-759	0	2312	-1	1967at3041|TRINITY_DN14022_c0_g1_i1|-|129|1.181e-32|1|2|760|760[760]:2[2]:759[759]
4598	4+471	0	5510	1	6111at3041|TRINITY_DN217_c0_g2_i1|+|118|2.418e-29|1|4|474|4[4]:474[474]:471[471]
5176	611-609	0	8415	-1	1532at3041|TRINITY_DN50205_c0_g1_i1|-|156|8.796e-41|1|3|611|611[611]:3[3]:609[609]
3547	819-786	0	4931	-1	1739at3041|TRINITY_DN17566_c0_g2_i1|-|149|1.126e-38|1|34|819|819[819]:34[34]:786[786]
3690	248+1839	0	7592	1	8844at3041|TRINITY_DN4257_c0_g1_i2|+|120|6.045e-30|1|248|2086|248[248]:2086[2086]:1839[1839]
4129	223-222	0	7073	-1	2959at3041|TRINITY_DN1654_c0_g1_i7|-|71|3.403e-15|1|2|223|223[223]:2[2]:222[222]
33655	1935-651	0	8212	-1	1047at3041|TRINITY_DN15916_c0_g1_i1|-|46|1.142e-07|1|1285|1935|1935[1935]:1285[1285]:651[651]
37916	381+321	0	6450	1	10253at3041|TRINITY_DN17012_c0_g1_i1|+|41|3.654e-06|1|381|701|381[381]:701[701]:321[321]
53050	361-360	0	6445	-1	5292at3041|TRINITY_DN66036_c0_g1_i1|-|175|1.678e-46|1|2|361|361[361]:2[2]:360[360]
53646	27+300	0	4925	1	1350at3041|TRINITY_DN44927_c0_g1_i1|+|36|0.0001169|1|27|326|27[27]:326[326]:300[300]
54240	733-723	0	3618	-1	4410at3041|TRINITY_DN2975_c0_g3_i2|-|44|4.567e-07|1|11|733|733[733]:11[11]:723[723]
54243	831-747	0	4863	-1	7646at3041|TRINITY_DN2953_c0_g1_i1|-|108|2.476e-26|1|85|831|831[831]:85[85]:747[747]
54492	9+432	0	7685	1	4927at3041|TRINITY_DN3745_c0_g1_i1|+|63|8.711e-13|1|9|440|9[9]:440[440]:432[432]
54495	300+237	0	494	1	2267at3041|TRINITY_DN3793_c0_g3_i3|+|39|1.462e-05|1|300|536|300[300]:536[536]:237[237]
83568	611-609	0	826	-1	1278at3041|TRINITY_DN11976_c0_g1_i1|-|285|1.292e-79|1|3|611|611[611]:3[3]:609[609]
83569	1114-984	0	1012	-1	1080at3041|TRINITY_DN11990_c0_g1_i6|-|312|9.63e-88|1|131|1114|1114[1114]:131[131]:984[984]
11256	909-870	0	4418	-1	3106at3041|TRINITY_DN49360_c0_g1_i1|-|284|2.585e-79|1|40|909|909[909]:40[40]:870[870]
